Year,Grocery stores sales million constant 1988 U.S. dollars without taxes and tips,Convenience stores sales million constant 1988 U.S. dollars without taxes and tips,Other food at home food stores sales million constant 1988 U.S. dollars without taxes and tips,Warehouse clubs and supercenters sales million constant 1988 U.S. dollars without taxes and tips,Other food at home stores and foodservice sales million constant 1988 U.S. dollars without taxes and tips,Mail order and home delivery sales million constant 1988 U.S. dollars without taxes and tips,"Direct selling by farmers, manufacturers, and wholesalers  sales million constant 1988 U.S. dollars without taxes and tips",Home production and donations sales million constant 1988 U.S. dollars without taxes and tips,Total food at home sales million constant 1988 U.S. dollars without taxes and tips,Full-service restaurants sales million constant 1988 U.S. dollars without taxes and tips,Limited-service restaurants sales million constant 1988 U.S. dollars without taxes and tips,Drinking places sales million constant 1988 U.S. dollars without taxes and tips,Hotels and motels sales million constant 1988 U.S. dollars without taxes and tips,Retail stores and vending sales million constant 1988 U.S. dollars without taxes and tips,Recreational places sales million constant 1988 U.S. dollars without taxes and tips,Schools and colleges sales million constant 1988 U.S. dollars without taxes and tips,"Other food away from home sales, not elsewhere classified, million constant 1988 U.S. dollars without taxes and tips",Food furnished and donated sales million constant 1988 U.S. dollars without taxes and tips,Total food away from home sales million constant 1988 U.S. dollars without taxes and tips,Liquor stores sales million constant 1988 U.S. dollars without taxes and tips,Food stores alcohol sales million constant 1988 U.S. dollars without taxes and tips,"Other alcohol at home sales, not elsewhere classified, million U.S. constant 1988 U.S. dollars without taxes and tips",Total alcohol at home sales million constant 1988 U.S. dollars without taxes and tips,Eating and drinking places alcohol sales million constant 1988 U.S. dollars without taxes and tips,Hotels and motels alcohol sales million constant 1988 U.S. dollars without taxes and tips,"Other alcohol away from home, not elsewhere classified, sales million constant 1988 U.S. dollars without taxes and tips",Total alcohol away from home sales million constant 1988 U.S. dollars without taxes and tips
1997,"195,619.70","7,050.04","7,732.78","21,703.06","27,373.01","8,465.35","2,972.31",831.48,"271,747.75","77,667.22","82,020.13","1,124.34","10,315.70","9,263.51","8,105.61","21,531.67","7,806.92","17,773.12","235,608.20","15,108.13","9,773.17","11,677.85","36,559.16","18,827.53","2,378.59","2,643.54","23,849.67"
1998,"193,938.94","6,676.77","7,659.54","25,684.02","26,465.25","8,534.49","2,698.34",832.04,"272,489.38","78,918.13","84,631.05","1,144.76","10,709.30","9,709.64","8,386.57","22,120.47","8,179.01","17,742.88","241,541.81","15,815.84","10,065.90","11,467.74","37,349.48","19,593.15","2,452.06","2,811.54","24,856.75"
1999,"197,248.34","6,586.39","7,458.30","30,476.38","27,866.83","9,242.80","2,408.88",832.12,"282,120.06","80,292.55","85,564.79","1,164.61","11,658.51","10,768.83","8,680.92","22,929.70","8,689.95","17,927.14","247,677.02","16,172.71","10,519.72","11,263.26","37,955.69","20,340.86","2,644.21","2,872.49","25,857.56"
2000,"194,800.44","7,013.02","7,656.76","35,087.18","30,134.80","10,418.90","2,140.34",766.91,"288,018.34","83,288.38","88,188.27","1,202.15","12,807.99","12,572.78","11,363.59","23,018.87","8,561.24","17,967.63","258,970.92","16,936.96","10,808.40","11,274.14","39,019.50","21,469.05","2,875.19","2,962.30","27,306.53"
2001,"194,875.17","6,769.69","7,848.52","40,010.96","29,407.00","10,018.63","1,826.44",837.15,"291,593.56","84,051.73","89,115.65","1,197.02","11,948.10","13,121.42","11,541.93","23,760.56","8,603.79","17,738.41","261,078.63","17,279.48","11,257.48","10,421.23","38,958.19","21,947.67","2,646.05","2,935.43","27,529.15"
2002,"191,591.83","6,787.26","7,923.85","45,604.83","28,820.36","10,397.31","1,572.58",873.8,"293,571.81","85,728.38","90,473.07","1,217.37","11,479.31","13,624.56","11,723.39","24,931.07","8,554.79","17,437.60","265,169.53","17,138.63","11,410.51","9,478.20","38,027.34","22,762.88","2,511.46","2,956.45","28,230.79"
2003,"191,713.09","6,170.11","8,129.26","50,797.58","29,842.24","10,477.15","1,653.15",873.57,"299,656.16","88,599.89","94,383.83","1,343.22","11,066.74","13,943.29","12,023.67","25,812.30","9,063.50","17,568.31","273,804.72","17,319.79","11,282.67","10,030.32","38,632.77","22,887.69","2,448.80","3,023.54","28,360.04"
2004,"190,339.47","5,886.63","8,359.15","55,475.09","31,353.17","10,498.00","1,688.11",889.7,"304,489.31","92,049.56","99,088.18","1,413.36","11,138.67","14,618.85","12,270.15","26,601.51","9,392.92","17,955.12","284,528.34","18,017.69","11,274.90","10,889.44","40,182.04","22,733.14","2,499.41","3,070.47","28,303.02"
2005,"194,112.23","5,505.36","8,267.73","61,656.00","33,341.45","10,659.22","1,761.61","1,044.21","316,347.81","94,930.53","103,758.29","1,487.30","10,890.44","14,335.83","11,469.49","27,457.04","9,518.05","18,536.22","292,383.19","18,681.89","11,379.84","11,909.01","41,970.75","22,561.62","2,491.73","3,061.49","28,114.85"
2006,"196,492.25","5,396.12","8,225.67","67,274.45","34,536.01","10,812.66","1,805.96","1,074.31","325,617.41","99,168.73","106,220.93","1,630.20","10,547.65","14,749.13","11,813.64","27,956.16","10,165.63","19,106.26","301,358.31","19,876.12","11,458.39","12,600.74","43,935.25","22,689.17","2,447.26","3,149.41","28,285.84"
